type,date,year_month,butter_price,dairy_price,margarine_price,butter_search_interest,fear_score,count
price_indices,2024-10-01,,226.8,159.3,172.2,,,
price_indices,2024-11-01,,232.9,159.6,169.7,,,
price_indices,2024-12-01,,232.9,159.8,169.7,,,
price_indices,2025-01-01,,232.7,160.5,169.0,,,
price_indices,2025-02-01,,225.4,161.9,171.8,,,
price_indices,2025-03-01,,217.6,162.8,172.0,,,
price_indices,2025-04-01,,210.4,162.7,170.7,,,
price_indices,2025-05-01,,214.3,163.2,171.9,,,
price_indices,2025-06-01,,213.0,162.3,173.7,,,
price_indices,2025-07-01,,211.0,163.4,173.8,,,
price_indices,2025-08-01,,212.1,163.3,175.4,,,
price_indices,2025-09-01,,211.6,163.6,173.5,,,
price_indices,2025-10-01,,190.6,163.0,171.6,,,
price_indices,2025-11-01,,181.8,161.7,171.1,,,
price_indices,2025-12-01,,159.0,157.5,168.7,,,
price_vs_search,,2019-12,144.3,,,36.0,,
price_vs_search,,2020-01,144.9,,,32.0,,
price_vs_search,,2020-02,143.3,,,30.5,,
price_vs_search,,2020-03,142.7,,,31.8,,
price_vs_search,,2020-04,142.5,,,40.0,,
price_vs_search,,2020-05,142.3,,,36.0,,
price_vs_search,,2020-06,140.3,,,31.25,,
price_vs_search,,2020-07,140.5,,,29.75,,
price_vs_search,,2020-08,141.2,,,28.2,,
price_vs_search,,2020-09,138.2,,,29.5,,
price_vs_search,,2020-10,136.9,,,32.25,,
price_vs_search,,2020-11,139.7,,,40.0,,
price_vs_search,,2020-12,138.6,,,41.25,,
price_vs_search,,2021-01,142.1,,,34.8,,
price_vs_search,,2021-02,139.7,,,34.5,,
price_vs_search,,2021-03,144.1,,,35.25,,
price_vs_search,,2021-04,146.5,,,33.25,,
price_vs_search,,2021-05,147.4,,,35.6,,
price_vs_search,,2021-06,149.0,,,27.0,,
price_vs_search,,2021-07,148.9,,,29.0,,
price_vs_search,,2021-08,149.7,,,30.0,,
price_vs_search,,2021-09,144.4,,,30.25,,
price_vs_search,,2021-10,144.4,,,31.4,,
price_vs_search,,2021-11,156.9,,,38.0,,
price_vs_search,,2021-12,162.1,,,40.75,,
price_vs_search,,2022-01,168.8,,,37.0,,
price_vs_search,,2022-02,168.2,,,37.5,,
price_vs_search,,2022-03,169.5,,,40.0,,
price_vs_search,,2022-04,192.3,,,47.75,,
price_vs_search,,2022-05,210.8,,,39.8,,
price_vs_search,,2022-06,217.5,,,37.0,,
price_vs_search,,2022-07,220.2,,,36.0,,
price_vs_search,,2022-08,223.0,,,35.5,,
price_vs_search,,2022-09,224.7,,,39.5,,
price_vs_search,,2022-10,224.2,,,41.8,,
price_vs_search,,2022-11,223.2,,,62.75,,
price_vs_search,,2022-12,226.3,,,52.25,,
price_vs_search,,2023-01,213.0,,,43.8,,
price_vs_search,,2023-02,182.5,,,42.25,,
price_vs_search,,2023-03,169.8,,,41.25,,
price_vs_search,,2023-04,163.7,,,45.6,,
price_vs_search,,2023-05,161.5,,,38.75,,
price_vs_search,,2023-06,160.0,,,32.75,,
price_vs_search,,2023-07,161.9,,,34.4,,
price_vs_search,,2023-08,158.4,,,35.25,,
price_vs_search,,2023-09,159.6,,,34.75,,
price_vs_search,,2023-10,162.4,,,40.8,,
price_vs_search,,2023-11,167.6,,,48.0,,
price_vs_search,,2023-12,167.0,,,48.0,,
price_vs_search,,2024-01,175.5,,,41.0,,
price_vs_search,,2024-02,176.2,,,39.75,,
price_vs_search,,2024-03,176.4,,,44.8,,
price_vs_search,,2024-04,180.5,,,41.0,,
price_vs_search,,2024-05,182.3,,,37.5,,
price_vs_search,,2024-06,187.1,,,36.2,,
price_vs_search,,2024-07,195.2,,,37.5,,
price_vs_search,,2024-08,198.6,,,39.5,,
price_vs_search,,2024-09,206.3,,,50.6,,
price_vs_search,,2024-10,226.8,,,60.75,,
price_vs_search,,2024-11,232.9,,,60.25,,
price_vs_search,,2024-12,232.9,,,76.2,,
economic_concern,,,,,,,0,383
economic_concern,,,,,,,1,123
economic_concern,,,,,,,2,27
economic_concern,,,,,,,3,6
economic_concern,,,,,,,4,2
